method,dataset,direction,T,mean_accuracy,std_accuracy,mean_percent,std_percent,trials
baseline_alpha2,ATC,given_text,4,0.6737612238111074,0.004126928382437924,67.37612238111073,0.41269283824379244,"[0.6714333222480878, 0.6744263385433987, 0.6784170269371467, 0.6774193548387096, 0.6671100764881942]"
baseline_alpha2,ATC,given_text,10,0.5151978716328567,0.004581090883331564,51.51978716328567,0.45810908833315633,"[0.5151313601596276, 0.5071499833721317, 0.5174592617226471, 0.5151313601596276, 0.5211173927502494]"
baseline_alpha2,ATC,given_text,20,0.42115064848686395,0.005638196063191943,42.115064848686394,0.5638196063191943,"[0.4243431992018623, 0.4103757898237446, 0.42667110076488196, 0.4220152976388427, 0.42234785500498834]"
curriculum,ATC,given_molecule,4,0.7056867309610908,0.007038912699872546,70.56867309610908,0.7038912699872546,"[0.7090123046225474, 0.7086797472564017, 0.69271699368141, 0.713335550382441, 0.7046890588626538]"
curriculum,ATC,given_molecule,10,0.5539740605254406,0.0036454112686517366,55.39740605254406,0.36454112686517365,"[0.5483870967741935, 0.5593614898570003, 0.5560359161955437, 0.5533754572663785, 0.5527103425340871]"
curriculum,ATC,given_molecule,20,0.45986032590621884,0.004956778419391214,45.98603259062188,0.4956778419391214,"[0.45094778849351513, 0.4629198536747589, 0.4639175257731959, 0.457931493182574, 0.4635849684070502]"
curriculum,ATC,given_text,4,0.6866644496175589,0.0038461808566148193,68.66644496175589,0.3846180856614819,"[0.6824077153308946, 0.6910542068506818, 0.6883937479215164, 0.6897239773860991, 0.6817426005986033]"
curriculum,ATC,given_text,10,0.5280345859660792,0.0026885777095321376,52.803458596607925,0.2688577709532138,"[0.5267708679747256, 0.523445294313269, 0.5297638842700366, 0.5310941137346192, 0.5290987695377453]"
curriculum,ATC,given_text,20,0.4306617891586299,0.0028991679039179676,43.06617891586299,0.28991679039179674,"[0.4333222480877951, 0.425673428666445, 0.4336548054539408, 0.43099434652477553, 0.42966411706019286]"
curriculum,description,given_molecule,4,0.9209705372616984,0.0061616599080177555,92.09705372616985,0.6161659908017756,"[0.9220103986135182, 0.9185441941074524, 0.9220103986135182, 0.9306759098786829, 0.9116117850953206]"
curriculum,description,given_molecule,10,0.8563258232235702,0.003929214574958245,85.63258232235702,0.3929214574958245,"[0.8500866551126517, 0.8604852686308492, 0.8578856152512998, 0.8596187175043327, 0.8535528596187175]"
curriculum,description,given_molecule,20,0.8006932409012132,0.002684910465308412,80.06932409012131,0.2684910465308412,"[0.7989601386481803, 0.7963604852686309, 0.8032928942807626, 0.8032928942807626, 0.8015597920277296]"
curriculum,description,given_text,4,0.9110918544194109,0.006988507852220451,91.1091854419411,0.6988507852220451,"[0.9055459272097054, 0.9003466204506065, 0.9185441941074524, 0.91421143847487, 0.9168110918544194]"
curriculum,description,given_text,10,0.8422876949740035,0.006667377491047267,84.22876949740035,0.6667377491047266,"[0.8457538994800693, 0.830155979202773, 0.8457538994800693, 0.8492201039861352, 0.8405545927209706]"
curriculum,description,given_text,20,0.7894280762564991,0.006461473789361251,78.94280762564992,0.6461473789361252,"[0.7842287694974004, 0.7842287694974004, 0.7902946273830156, 0.8015597920277296, 0.7868284228769498]"
curriculum,pharmacodynamics,given_molecule,4,0.8505472636815921,0.005815577789533316,85.05472636815921,0.5815577789533316,"[0.8597014925373134, 0.8467661691542289, 0.8537313432835821, 0.8427860696517413, 0.8497512437810946]"
curriculum,pharmacodynamics,given_molecule,10,0.758407960199005,0.008093412699567263,75.84079601990051,0.8093412699567263,"[0.7572139303482587, 0.7701492537313432, 0.7572139303482587, 0.7621890547263681, 0.745273631840796]"
curriculum,pharmacodynamics,given_molecule,20,0.6853731343283582,0.009193082159165065,68.53731343283582,0.9193082159165065,"[0.6875621890547263, 0.7024875621890547, 0.6796019900497512, 0.6786069651741293, 0.6786069651741293]"
curriculum,pharmacodynamics,given_text,4,0.8336318407960199,0.00664211712170295,83.363184079602,0.6642117121702951,"[0.8378109452736319, 0.8328358208955224, 0.8427860696517413, 0.8318407960199005, 0.8228855721393035]"
curriculum,pharmacodynamics,given_text,10,0.7359203980099502,0.0075935458819259265,73.59203980099502,0.7593545881925926,"[0.7482587064676617, 0.7333333333333333, 0.7333333333333333, 0.7393034825870647, 0.7253731343283583]"
curriculum,pharmacodynamics,given_text,20,0.666865671641791,0.0071031117602287685,66.6865671641791,0.7103111760228769,"[0.6776119402985075, 0.663681592039801, 0.6587064676616915, 0.672636815920398, 0.6616915422885572]"
curriculum_alpha2,ATC,given_molecule,4,0.7200532091785833,0.004139771551605048,72.00532091785833,0.41397715516050476,"[0.7203192550714999, 0.7239773860991021, 0.712337878284004, 0.7203192550714999, 0.7233122713668108]"
curriculum_alpha2,ATC,given_molecule,10,0.5727302959760558,0.006332227594499169,57.273029597605586,0.6332227594499169,"[0.5710009976720984, 0.5819753907549052, 0.562687063518457, 0.5719986697705354, 0.5759893581642833]"
curriculum_alpha2,ATC,given_molecule,20,0.4788160957765214,0.0031436786958687047,47.88160957765214,0.31436786958687046,"[0.48254073827735283, 0.48087795144662454, 0.47322913202527433, 0.47888260724975057, 0.47855004988360494]"
curriculum_alpha2,ATC,given_text,4,0.6935151313601596,0.0035669006126483366,69.35151313601597,0.35669006126483366,"[0.6963751247090123, 0.6913867642168274, 0.6990355836381776, 0.6897239773860991, 0.6910542068506818]"
curriculum_alpha2,ATC,given_text,10,0.5414699035583638,0.0049612387626129795,54.14699035583638,0.49612387626129795,"[0.5354173594945129, 0.5374127036913867, 0.5497173262387762, 0.5427336215497173, 0.542068506817426]"
curriculum_alpha2,ATC,given_text,20,0.4440971067509145,0.007452847264559468,44.40971067509145,0.7452847264559468,"[0.4356501496508148, 0.43964083804456267, 0.4556035916195544, 0.44995011639507815, 0.43964083804456267]"
curriculum_alpha2,description,given_molecule,4,0.9143847487001733,0.005758491412768165,91.43847487001733,0.5758491412768165,"[0.9194107452339688, 0.9064124783362218, 0.9090121317157712, 0.915944540727903, 0.9211438474870017]"
curriculum_alpha2,description,given_molecule,10,0.847833622183709,0.00810306393591749,84.7833622183709,0.8103063935917489,"[0.8492201039861352, 0.8405545927209706, 0.8396880415944541, 0.8474870017331022, 0.8622183708838822]"
curriculum_alpha2,description,given_molecule,20,0.7937608318890814,0.005589086827243362,79.37608318890814,0.5589086827243362,"[0.7989601386481803, 0.7850953206239168, 0.7920277296360485, 0.7920277296360485, 0.8006932409012132]"
