method,Description Given Molecule @10,Description Given Molecule @10 std,Description Given Text @10,Description Given Text @10 std,Pharmacodynamics Given Molecule @10,Pharmacodynamics Given Molecule @10 std,Pharmacodynamics Given Text @10,Pharmacodynamics Given Text @10 std,ATC Given Molecule @10,ATC Given Molecule @10 std,ATC Given Text @10,ATC Given Text @10 std
baseline,84.99133448873482,0.521084796477397,83.63951473136918,0.6400757474044844,75.64179104477613,0.48091725268038077,73.3134328358209,0.4684020814304391,56.521449950116384,0.37542177031380275,52.69704023944131,0.4582056441543035
baseline_alpha2,84.73136915077988,0.7482507155952458,83.27556325823224,0.39138959412950547,75.76119402985076,0.21433491769689528,73.43283582089552,0.4792674459220792,56.26870635184569,0.3756573660510273,51.51978716328567,0.45810908833315633
curriculum,85.63258232235702,0.3929214574958245,84.22876949740035,0.6667377491047266,75.84079601990051,0.8093412699567263,73.59203980099502,0.7593545881925926,55.39740605254406,0.36454112686517365,52.803458596607925,0.2688577709532138
curriculum_alpha2,84.7833622183709,0.8103063935917489,83.41421143847487,0.36600887490369033,76.49751243781094,0.3950135968413784,73.69154228855722,0.7799370325279751,57.273029597605586,0.6332227594499169,54.14699035583638,0.49612387626129795
stratified,84.69670710571924,0.6287125527631555,82.84228769497402,0.7923140000459273,76.1592039800995,0.7246623465087807,73.13432835820896,0.6807017463278415,55.62354506152312,0.20130024543294345,52.69704023944131,0.238515744290537
stratified_alpha2,84.45407279029465,0.5358622126079822,82.790294627383,0.5993627891088577,75.88059701492537,0.47344785088041086,72.4776119402985,0.5058015931199545,55.90289324908546,0.5173378512172967,52.16494845360824,0.5838631552339161
