method,Description Given Molecule @20,Description Given Molecule @20 std,Description Given Text @20,Description Given Text @20 std,Pharmacodynamics Given Molecule @20,Pharmacodynamics Given Molecule @20 std,Pharmacodynamics Given Text @20,Pharmacodynamics Given Text @20 std,ATC Given Molecule @20,ATC Given Molecule @20 std,ATC Given Text @20,ATC Given Text @20 std
baseline,79.5840554592721,0.7405844235432084,78.35355285961872,0.6447513080671832,68.43781094527364,0.9084746038219587,65.93034825870647,0.5822383617244901,47.07016960425673,0.17546931770233432,43.3787828400399,0.7078395848028481
curriculum,80.06932409012131,0.2684910465308412,78.94280762564992,0.6461473789361252,68.53731343283582,0.9193082159165065,66.6865671641791,0.7103111760228769,45.98603259062188,0.4956778419391214,43.06617891586299,0.28991679039179674
stratified,79.15077989601386,0.7546461371603913,77.97227036395147,0.5181946754844365,68.05970149253731,0.7525440955697129,66.10945273631842,0.7900271936827565,46.16561356834055,0.30940348120021327,42.85999334885268,0.45762600363869893
curriculum_alpha2,79.37608318890814,0.5589086827243362,78.11091854419409,0.44726127904901064,68.4776119402985,1.0742582747276255,65.87064676616914,0.8009795740297744,47.88160957765214,0.31436786958687046,44.40971067509145,0.7452847264559468
