method,Description Given Molecule @4,Description Given Molecule @4 std,Description Given Text @4,Description Given Text @4 std,Pharmacodynamics Given Molecule @4,Pharmacodynamics Given Molecule @4 std,Pharmacodynamics Given Text @4,Pharmacodynamics Given Text @4 std,ATC Given Molecule @4,ATC Given Molecule @4 std,ATC Given Text @4,ATC Given Text @4 std
baseline,91.38648180242635,0.6452170006581028,90.51993067590989,0.5993627891088591,85.03482587064676,0.6853403127451746,83.38308457711443,0.674858704788586,71.66611240438976,0.1559832311214966,68.33388759561025,0.4871255982334666
baseline_alpha2,91.02253032928944,0.6858356650748465,90.06932409012131,0.5524220953382744,84.955223880597,0.17119055257796278,83.3233830845771,0.5287693634064256,71.1406717658796,0.3281382476499924,67.37612238111073,0.41269283824379244
curriculum,92.09705372616985,0.6161659908017756,91.1091854419411,0.6988507852220451,85.05472636815921,0.5815577789533316,83.363184079602,0.6642117121702951,70.56867309610908,0.7038912699872546,68.66644496175589,0.3846180856614819
curriculum_alpha2,91.43847487001733,0.5758491412768165,90.48526863084922,0.6424177813813041,85.33333333333333,0.37017065149728,83.54228855721392,0.8688111424056942,72.00532091785833,0.41397715516050476,69.35151313601597,0.35669006126483366
stratified,91.68110918544194,0.5256759406621524,90.17331022530328,0.631096757574804,84.91542288557214,0.7301069185211592,82.96517412935323,0.5572139303482602,70.65513801130695,0.49397923851352643,68.14100432324575,0.2506344354029492
stratified_alpha2,91.33448873483536,0.3952081196184198,89.93067590987869,0.7401787349761726,85.15422885572139,0.5607563304917563,82.70646766169153,0.4193295026011057,70.88127702028599,0.7907875728740579,67.72198204190222,0.2458226619564532
