bin_left,bin_right,count,percent
0.0,0.05,2836,0.11344
0.05,0.1,4592,0.18368
0.1,0.15000000000000002,9850,0.394
0.15000000000000002,0.2,27041,1.08164
0.2,0.25,213188,8.527519999999999
0.25,0.30000000000000004,538188,21.52752
0.30000000000000004,0.35000000000000003,468972,18.75888
0.35000000000000003,0.4,309631,12.38524
0.4,0.45,231618,9.26472
0.45,0.5,148813,5.95252
0.5,0.55,130219,5.20876
0.55,0.6000000000000001,88507,3.5402799999999996
0.6000000000000001,0.65,67520,2.7008
0.65,0.7000000000000001,47991,1.9196399999999998
0.7000000000000001,0.75,34022,1.36088
0.75,0.8,27028,1.08112
0.8,0.8500000000000001,25142,1.00568
0.8500000000000001,0.9,26270,1.0508
0.9,0.9500000000000001,34469,1.37876
0.9500000000000001,1.0000001192092896,64103,2.56412
