bin_left,bin_right,count,percent
0.0,0.05,120798222,9.66405104102082
0.05,0.1,474010455,37.92159483189664
0.1,0.15000000000000002,472493793,37.80025944518891
0.15000000000000002,0.2,132234495,10.578971179423588
0.2,0.25,30065640,2.40529930598612
0.25,0.30000000000000004,11328270,0.9062797255945119
0.30000000000000004,0.35000000000000003,4052537,0.32420944418888376
0.35000000000000003,0.4,1452541,0.11620560411208224
0.4,0.45,761118,0.060890657813156265
0.45,0.5,525612,0.042049800996019925
0.5,0.55,517964,0.041437948758975184
0.55,0.6000000000000001,422321,0.033786355727114546
0.6000000000000001,0.65,345575,0.027646552931058624
0.65,0.7000000000000001,222569,0.01780587611752235
0.7000000000000001,0.75,163673,0.013094101882037641
0.75,0.8,177222,0.014178043560871217
0.8,0.8500000000000001,160102,0.012808416168323365
0.8500000000000001,0.9,121124,0.009690113802276046
0.9,0.9500000000000001,74589,0.005967239344786896
0.9500000000000001,1.0,47178,0.0037743154863097263
